"country","decile","min_n","mean_nwx","mean_wt","share_vol","share_recip"
"LU",3,284,62727.7328776101,27015.3005892202,0.00699508475926909,0.0510754884322598
"LU",4,287,174279.275268369,100692.742830136,0.0261501853304525,0.131545449005249
"LU",5,355,379763.318669528,114051.78584383,0.0296402702192698,0.194188716848516
"LU",6,405,616619.624600797,96103.7913775534,0.025124420523249,0.194387807557408
"LU",7,382,863777.427946787,106309.686181288,0.0272837397199524,0.185980285631799
"LU",8,407,1139381.7575903,100661.438500626,0.0261512723200105,0.157931808506402
"LU",9,462,1634360.82323511,112961.241146642,0.0295910387538406,0.203011808074902
"LU",10,473,4760401.01341119,373713.734856506,0.0967075483487184,0.260239629184373
"LV",1,91,-25268.0805836928,38264.7212671585,0.501948434727237,0.323844176183618
"LV",2,103,3150.69143938184,2011.63109172753,0.0256077002583045,0.0574026804109497
"LV",3,87,11615.5127858858,8433.12408270907,0.106022584213107,0.0691330335299989
"LV",4,92,22590.138539953,3491.90341395047,0.045148555875536,0.080371595291558
"LV",5,104,34857.5951758857,3303.13936220815,0.0424188117945077,0.124633424363455
"LV",6,96,47383.6915463459,2727.64637513975,0.0348642400158774,0.103322236569835
"LV",7,107,63164.3754480832,2346.87504949141,0.0300074483438425,0.113807661535699
"LV",8,114,84146.381119379,1462.82167037648,0.0190101096791383,0.144982155327223
"LV",9,156,122484.574089262,7191.62065323837,0.0915146814362105,0.158915090288052
"LV",10,195,552667.716933676,8126.10987839589,0.103457433656239,0.121036070488529
"MT",1,101,-338768.914492382,630048.888392421,0.538076622195116,0.887708105707697
"MT",2,81,9667.9327307705,2572.9581349828,0.00212965528314307,0.098947511681713
"MT",3,84,54845.9019829727,37836.3185443505,0.0308779907084339,0.173027823571932
"MT",4,106,161763.773413973,84711.7489216262,0.0710330452941616,0.465584829077244
"MT",5,97,257831.92570424,62983.4636910944,0.0516153555953115,0.345012350736164
"MT",6,98,326970.547215025,81064.3116937145,0.0669472744302257,0.447336844952975
"MT",7,115,426693.298518395,51228.9461306672,0.0436379468224916,0.30716475308593
"MT",8,125,581682.07810296,81564.2586670165,0.0660815989195431,0.469291380915722
"MT",9,110,823341.234818242,42152.1160297596,0.035350825724404,0.358452879862454
"MT",10,106,1625298.28422607,115118.893513602,0.0942496850271701,0.544923856471145
"NL",1,191,-91282.4303838489,111097.927210138,0.464967567558422,0.280246008411324
"NL",2,199,3332.30662472258,1796.64398021524,0.00840752063664286,0.0231222469597379
"NL",3,202,13763.8262715525,4755.98805318969,0.0216016733528173,0.0801189488627223
"NL",4,208,37015.7853323126,4181.99753735179,0.0187910651608699,0.0483388632265026
"NL",5,221,91482.1220031158,13913.7304881763,0.0639859972867374,0.158049287375814
"NL",6,236,166054.01174468,14485.9401004899,0.0677502618791443,0.165115711803338
"NL",7,272,241879.195553675,11279.0358677308,0.0524164483652772,0.122025370393326
"NL",8,287,331911.520655148,11706.7500356054,0.0536470179877673,0.100245666114141
"NL",9,325,467193.388316719,13948.3580403082,0.0650406570744358,0.139738757678467
"NL",10,337,1104164.8950915,39845.8330222999,0.183391790697886,0.183625305985834
"PT",1,544,-261986.786213671,442674.708119242,0.642699698962092,0.803161681156062
"PT",2,490,869.388200439621,4595.6344706208,0.00669553409522566,0.0428569354490843
"PT",3,456,13679.2532066008,12591.2545548503,0.0183610431571784,0.163646258305736
"PT",4,493,52675.4593746842,24222.312789202,0.0351743281738344,0.30860584680858
"PT",5,522,99579.5172659064,21419.7068106072,0.031281617215116,0.256922357711431
"PT",6,521,147074.924650758,15207.7254393695,0.0220859832138244,0.204812437955003
"PT",7,549,203484.797403725,24282.9052575639,0.0351963834622047,0.237612084854777
