country,iso2,year,metric,flow_type,value,source_notes
Belgium,BE,1990,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,2000,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,2010,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,2020,InheritanceVolume,fiscal,50000000000,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
France,FR,2020,Inheritance&GiftTaxRevenue,NA,15039000000, | OECDTaxRevenueStatistics
France,FR,2020,InheritanceVolume,economic,314068083143," | owncalculationbasedonthe2020modellingofPikettyin:""OntheLong-RunEvolutionofInheritance:France1820-2050ThomasPikettyParisSchoolofEconomics*September2010**"""
France,FR,2020,PublicSectorCurrentReceipts,NA,1047600000000, | OECD Revenue Statistics 2022
Germany,DE,1910,Inheritance&GiftTaxRevenue,NA,57000000,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1920,Inheritance&GiftTaxRevenue,NA,283580000,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1930,Inheritance&GiftTaxRevenue,NA,76000000,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1940,Inheritance&GiftTaxRevenue,NA,108000000,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1950,Inheritance&GiftTaxRevenue,NA,23469960,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1960,Inheritance&GiftTaxRevenue,NA,242522920,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1970,Inheritance&GiftTaxRevenue,NA,467443370,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1980,Inheritance&GiftTaxRevenue,NA,937000000,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1990,Inheritance&GiftTaxRevenue,NA,2237469520,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,2000,Inheritance&GiftTaxRevenue,NA,2817000000,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,2010,Inheritance&GiftTaxRevenue,NA,4549827197,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,2020,Inheritance&GiftTaxRevenue,NA,8078121000,"1910:Mark. 1930 and 1940: RM. for 1950 to 1990 converted from EUR to DM. Tax years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, tax volume also used from that year | https://www,destatis,de/DE/Themen/Staat/Steuern/Weitere-Steuern/Tabellen/sonderauswertung-erbschaft-schenkungsteuer,html"
Germany,DE,1910,InheritanceVolumeEstimate,economic,6052000000,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,1920,InheritanceVolumeEstimate,economic,4149942857,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,1930,InheritanceVolumeEstimate,economic,8551290102,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,1960,InheritanceVolumeEstimate,economic,4975631520,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,1970,InheritanceVolumeEstimate,economic,26325471800,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,1980,InheritanceVolumeEstimate,economic,40219688120,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,1990,InheritanceVolumeEstimate,economic,75000000000,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,2000,InheritanceVolumeEstimate,economic,130337000000,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,2010,InheritanceVolumeEstimate,economic,220308000000,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,2020,InheritanceVolumeEstimate,economic,350000000000,yearsareonlyapproximatebasedonavailabledata+-2-3years; 1960 to 1990 converted  € to DM | 200-300 billion inherited per year around 2010-2020: https://www.diw.de/documents/publikationen/73/diw_01.c.525511.de/diw_econ_bull_2016-04-1.pdf
Germany,DE,1910,InheritanceVolumeasperStatistic,fiscal,879000000,"reporting years chosen according to availaility of inheritance estimates. E.g. if estimate only available for 1978, inheritance volume statistic also used from that year | BevölkerungundWirtschaft1872-1972,Herausgegebenanläßlichdes100jährigenBestehensderzentralenamtlichenStatistik,
Bartels,Hildegard(Vorw,):
Verlag:StuttgartundMainz:W,Kohlhammer,1972"
